NAME,LENGTH,CONN TYPE,LINK 1,LINK 2
R448,50.6,City,Waterford,KilKenny
N25,259,City,Waterford,Cork
N25,60.1,City,Waterford,Wexford
R675,12.5,City,Waterford,Tramore
M9,171,City,Waterford,Dublin
N24,129,City,Waterford,Limerick
M9,130,City,KilKenny,Dublin
M7,131,City,KilKenny,Limerick
N21,111,City,Limerick,Killarney
M7,202,City,Limerick,Dublin
M18,107,City,Limerick,Galway
N20,105,City,Cork,Limerick
N22,85.4,City,Cork,Killarney
M6,208,City,Galway,Dublin
M8/M7,259,City,Cork,Dublin
M11,148,City,Wexford,Dublin
N84,147,City,Wexford,Dublin
