NODE,TYPE
Dunfanaghy,City
Dungloe,City
Letterkenny,City
Donegal,City
Ballybofey,City
Bundoran,City
Mullaghmore,City
Cliffony,Intersect
Sligo,City
Bangor Erris,City
N4/N17 Intersection,Intersect
N59/N4 Intersection,Intersect
Ballina,City
Westport,City
Letterfrack,City
Clifden,City
Galway,City
Castlebar,City
Claremorris,City
Foxford,City
N5/N58 Split,Intersect
N26/N5 Split,Intersect
Tuam,City
N5/N17 Intersection,Intersect
Ballyhaunis,City
N17/N83 Split,Intersect
Castlerea,City
M17/N63 Intersection,Intersect
M6/M17/M18 Intersection,Intersect
N6/M6/N67 Intersection,Intersect
Mountbellew,City
M6/N65 Intersection,Intersect
R446/M6 Intersection,Intersect
M6/R357 Intersection,Intersect
Ballinasloe,CIty
Athlone,City
Roscommon,City
Tulsk,City
N4/N61 Intersection,Intersect
Carrick-On-Shannon,City
Longford,City
Dublin,City
Tullamore,City
Mullingar,City
Edgeworthstown,City
Cavan,City
Glangevlin,City
Monaghan,City
N23/N3 Intersection,Intersect
N3/R188 Intersection,Intersect
Ballinagh Rd/N55 Intersection,Intersect
N3/N55 Intersection,Intersect
Delvin,City
Kinnegad,City
N52/M6 Intersection,Intersect
Castleblayney,City
Dundalk,City
M6/N52 Intersection,Intersect
N52/R421 Intersection,Intersect
N52/N80/R443 Intersection,Intersect
Kells,City
Ardee,City
M1/N33 Intersection,City
Drogheda,City
Slane,City
Navan,City
N51/M3 Intersection,Merge
Bray,City
N7/M50 Intersection,Intersect
N16/R206 Intersection,Intersect
R200/N87 Intersection,Intersect
Belturbet,City
Waterford,City
Kilkenny,City
Wexford,City
Cork,City
Limerick,City
Tramore,City
Dungarvan,City
Kinvarra,City
Doolin,City
Lisdoonvarna,City
N67/N85 Intersection,Intersect
Ennis,City
Kilkee,City
Kilrush,City
M18/N18/N85 Intersection,Intersect
Foynes,City
Tarbert,City
Tralee,City
Dingle,City
Killorglin,City
Cahersiveen,City
Sneem,City
Kenmare,City
Killarney,City
Farranfore,Intersect
N21/N23 Intersection,Intersect
Bantry,City
Clonakilty,City
Midleton,City
Mallow,City
Adare,City
M20/N21/N20 Intersection,Intersect
Tipperary,City
Fermoy,City
M8/N73 Split,Intersect
Cahir,City
Cashel,City
Thurles,City
Birr,City
Roscrea,City
Borrisokane,City
M7/N52 Split,Intersect
N62/M8 Intersection,Intersect
N75/M8 Intersection,Intersect
M7/N62 Intersection,Intersect
M7/M8 Split,Intersect
Portlaoise,City
Clonmel,City
New Ross,City
Enniscorthy,City
N11/N80 Split,City
N77/N78 Split,City
N78/N80 Intersection,Intersect
Carlow,City
M9/N80 Intersection,Intersect
N78/M9 Intersection,Intersect
N81/N80 Split,Intersect
M7/N7/M9 Intersection,Intersect
Gorey,City
N10/M9 Intersection (N. part),Intersect
N10/M9 Intersection (S. part),Intersect
N80/M7 Intersection,Intersect
N77/M7 Intersection,Intersect
M4/M50 Intersection,Intersect
M3/M50 Intersection,Intersect
M2/M50 Intersection,Intersect
M1/M50 Intersection,Intersect
N81/M50 Intersection,Intersect
